district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std,source_year,planning_room_id,planning_room_name,prediction_area_id,prediction_area_name
11001.0,Tiergarten Süd,3166,2394,2071,39,253,150,1847,166,1132,141,580.65,552.0,183.18,509.46,517.0,114.81,629.06,621.0,135.42,740.8,730.0,132.33,802.23,772.43,168.89,823.14,744.5,301.66,2020,,,,
11002.0,Regierungsviertel,3581,3084,2665,41,302,161,2415,196,1510,159,597.34,564.0,179.38,545.09,537.5,137.66,622.86,604.0,135.71,747.37,729.0,128.41,891.5,760.81,1369.09,870.36,806.0,326.23,2020,,,,
11003.0,Alexanderplatz,11231,9298,8048,145,635,351,7220,367,4890,317,566.76,530.0,191.87,476.46,451.5,133.21,559.95,547.0,133.77,698.45,668.0,142.83,746.29,713.08,157.31,923.35,862.5,418.63,2020,,,,
11004.0,Brunnenstraße Süd,2342,2089,1762,34,108,110,1591,56,1042,50,577.25,542.0,189.33,456.0,447.5,91.16,529.91,519.5,81.83,638.71,613.0,149.09,750.88,717.9,221.27,943.73,831.0,440.28,2020,,,,
12005.0,Moabit West,5188,4705,3829,78,220,206,3458,71,2026,65,594.38,570.0,181.76,527.95,476.5,159.39,567.39,546.0,168.29,672.3,648.5,147.5,783.53,691.07,542.88,737.84,646.0,325.49,2020,,,,
12006.0,Moabit Ost,6812,6213,5254,93,308,226,4732,170,3058,144,577.79,538.0,193.47,468.87,463.5,83.68,540.04,517.5,146.66,687.16,660.0,152.29,764.82,742.98,167.46,796.15,694.0,338.67,2020,,,,
13007.0,Osloer Straße,4953,4414,3568,63,164,160,3260,57,1569,48,649.98,609.0,203.47,537.56,510.5,141.71,594.75,583.0,144.84,791.67,735.0,241.67,793.77,750.42,191.92,1018.88,965.0,421.41,2020,,,,
13008.0,Brunnenstraße Nord,5904,5392,4432,87,216,229,4026,84,2530,66,582.99,537.0,207.68,457.6,457.0,100.69,568.37,549.0,153.8,707.04,660.0,197.42,809.53,777.77,199.76,877.65,691.0,462.49,2020,,,,
14009.0,Parkviertel,7337,5665,4678,114,235,231,4229,95,2382,82,601.33,571.0,194.0,499.02,472.0,130.7,571.0,549.0,141.0,763.56,762.0,171.77,797.49,747.66,220.35,864.07,830.0,374.16,2020,,,,
14010.0,Wedding Zentrum,7755,6979,5722,140,195,251,5204,64,3285,61,584.39,544.0,200.88,457.6,444.0,113.54,549.47,512.0,161.48,714.2,708.5,147.34,740.13,735.87,106.19,884.58,820.5,373.22,2020,,,,
21001.0,Südliche  Friedrichstadt,6570,5887,4880,115,345,263,4343,148,3165,134,545.57,513.0,170.01,456.71,444.0,112.16,553.02,524.5,169.53,701.54,659.0,195.48,728.41,709.77,162.36,757.54,659.0,338.91,2020,,,,
22002.0,Tempelhofer Vorstadt,7234,5995,5098,116,326,298,4592,160,3217,135,553.67,523.0,165.22,461.63,460.5,109.65,552.83,537.0,153.99,733.31,710.0,158.53,760.0,735.29,159.75,745.66,642.5,314.51,2020,,,,
23003.0,Nördliche Luisenstadt,2938,2654,2212,46,143,106,1948,48,1519,44,521.61,484.0,174.17,405.47,412.0,94.41,531.68,469.5,195.02,622.92,549.0,219.58,664.82,608.27,168.19,732.85,645.5,319.22,2020,,,,
23004.0,Südliche Luisenstadt,3154,2836,2369,46,157,118,2047,35,1516,29,529.62,491.0,180.83,415.5,407.5,91.08,495.88,459.0,161.22,640.25,654.0,192.36,723.89,679.14,206.95,820.06,704.0,395.67,2020,,,,
24005.0,Karl-Marx-Allee Nord,3405,2768,2313,58,95,88,2068,36,1448,35,562.26,528.0,185.51,481.53,453.0,110.97,590.04,543.0,159.35,736.05,699.0,174.75,713.83,698.09,172.22,929.52,775.0,447.2,2020,,,,
24006.0,Karl-Marx-Allee Süd,4534,4197,3590,82,190,117,3200,97,2425,84,522.81,481.0,186.11,441.23,419.0,118.27,541.2,496.0,177.85,602.99,592.0,146.53,716.57,669.02,206.14,895.05,810.5,448.11,2020,,,,
25007.0,Frankfurter Allee Nord,2795,2495,2106,38,158,104,1887,28,1178,25,599.01,562.0,191.24,473.9,465.0,109.93,596.27,550.0,131.57,727.52,733.5,142.37,731.52,712.21,135.97,943.21,842.5,410.75,2020,,,,
25008.0,Frankfurter Allee Süd FK,5280,4747,4076,81,265,190,3632,77,2399,64,573.75,542.5,183.67,483.73,462.0,123.24,580.72,552.0,172.82,678.27,631.5,189.36,744.7,723.91,183.66,949.62,828.5,428.52,2020,,,,
31001.0,Buch,2864,2418,1990,51,102,74,1597,36,800,12,653.82,600.0,222.41,571.68,561.0,108.5,782.87,746.0,235.04,828.74,811.5,171.01,944.2,934.01,136.03,935.83,882.0,286.41,2020,,,,
32002.0,Blankenfelde/Niederschönhausen,2764,2580,2112,48,52,97,1851,16,564,15,721.4,679.0,221.3,586.76,534.0,209.65,595.75,558.0,163.54,693.83,688.0,124.0,720.47,725.44,94.31,794.75,715.0,320.57,2020,,,,
