mission_location_district,response_time_2020,response_time_2025,rt_change,change_pct
Charlottenburg-Wilmersdorf,566.0,594.0,28.0,4.9
Friedrichshain-Kreuzberg,537.0,547.0,10.0,1.9
Lichtenberg,639.0,656.0,17.0,2.7
Marzahn-Hellersdorf,644.0,659.0,15.0,2.3
Mitte,576.0,575.0,-1.0,-0.2
Neukölln,590.0,613.0,23.0,3.9
Pankow,624.0,627.0,3.0,0.5
Reinickendorf,637.0,640.0,3.0,0.5
Spandau,603.0,602.0,-1.0,-0.2
Steglitz-Zehlendorf,616.0,634.0,18.0,2.9
Tempelhof-Schöneberg,572.0,597.0,25.0,4.4
Treptow-Köpenick,646.0,659.0,13.0,2.0
