mission_location_district,total_missions,avg_rt,median_rt,slow_responses,slow_rate
Friedrichshain-Kreuzberg,240689,614.2,555.0,145425,60.4
Mitte,395996,644.7,586.0,259206,65.5
Charlottenburg-Wilmersdorf,292951,647.4,593.0,195054,66.6
Tempelhof-Schöneberg,271241,660.7,600.0,185391,68.3
Neukölln,272332,672.3,618.0,192793,70.8
Spandau,213350,678.7,625.0,148278,69.5
Pankow,267273,689.9,635.0,194905,72.9
Steglitz-Zehlendorf,217879,689.0,637.0,158623,72.8
Reinickendorf,228796,703.6,652.0,167203,73.1
Lichtenberg,239971,702.4,655.0,181813,75.8
Marzahn-Hellersdorf,218795,705.3,659.0,168208,76.9
Treptow-Köpenick,226508,710.8,664.0,170874,75.4
