mission_location_district,year,total_missions,median_rt
Charlottenburg-Wilmersdorf,2020,43571,566.0
Charlottenburg-Wilmersdorf,2021,45349,595.0
Charlottenburg-Wilmersdorf,2022,49626,605.0
Charlottenburg-Wilmersdorf,2023,49029,599.0
Charlottenburg-Wilmersdorf,2024,51715,597.0
Charlottenburg-Wilmersdorf,2025,53661,594.0
Friedrichshain-Kreuzberg,2020,35873,537.0
Friedrichshain-Kreuzberg,2021,37065,546.0
Friedrichshain-Kreuzberg,2022,40932,572.0
Friedrichshain-Kreuzberg,2023,40507,567.0
Friedrichshain-Kreuzberg,2024,41929,561.0
Friedrichshain-Kreuzberg,2025,44383,547.0
Lichtenberg,2020,36571,639.0
Lichtenberg,2021,39102,651.0
Lichtenberg,2022,40922,671.0
Lichtenberg,2023,39389,650.0
Lichtenberg,2024,40510,662.0
Lichtenberg,2025,43477,656.0
Marzahn-Hellersdorf,2020,32722,644.0
Marzahn-Hellersdorf,2021,35108,654.0
Marzahn-Hellersdorf,2022,37549,667.0
Marzahn-Hellersdorf,2023,35928,660.0
Marzahn-Hellersdorf,2024,38012,665.0
Marzahn-Hellersdorf,2025,39476,659.0
Mitte,2020,58282,576.0
Mitte,2021,61885,585.0
Mitte,2022,68088,611.0
Mitte,2023,67143,590.0
Mitte,2024,68962,582.0
Mitte,2025,71636,575.0
Neukölln,2020,42586,590.0
Neukölln,2021,43371,615.0
Neukölln,2022,45767,644.0
Neukölln,2023,45161,621.0
Neukölln,2024,46737,628.0
Neukölln,2025,48710,613.0
Pankow,2020,41288,624.0
Pankow,2021,43708,634.0
Pankow,2022,46035,656.0
Pankow,2023,43680,637.0
Pankow,2024,45236,632.0
Pankow,2025,47326,627.0
Reinickendorf,2020,34506,637.0
Reinickendorf,2021,36227,656.0
Reinickendorf,2022,38625,682.0
Reinickendorf,2023,38645,654.0
Reinickendorf,2024,39238,644.0
Reinickendorf,2025,41555,640.0
Spandau,2020,32931,603.0
Spandau,2021,33974,640.0
Spandau,2022,36599,661.0
Spandau,2023,34812,634.0
Spandau,2024,36077,614.0
Spandau,2025,38957,602.0
Steglitz-Zehlendorf,2020,32741,616.0
Steglitz-Zehlendorf,2021,34857,636.0
Steglitz-Zehlendorf,2022,37430,654.0
Steglitz-Zehlendorf,2023,35785,639.0
Steglitz-Zehlendorf,2024,37780,640.0
Steglitz-Zehlendorf,2025,39286,634.0
Tempelhof-Schöneberg,2020,41216,572.0
Tempelhof-Schöneberg,2021,42801,599.0
Tempelhof-Schöneberg,2022,45718,619.0
Tempelhof-Schöneberg,2023,45574,605.0
Tempelhof-Schöneberg,2024,47769,609.0
Tempelhof-Schöneberg,2025,48163,597.0
Treptow-Köpenick,2020,34497,646.0
Treptow-Köpenick,2021,36425,659.0
Treptow-Köpenick,2022,39486,673.0
Treptow-Köpenick,2023,37258,670.0
Treptow-Köpenick,2024,38610,673.0
Treptow-Köpenick,2025,40232,659.0
